model,problem_type,problem_name,parallelism_model,response_time,total_tokens,prompt_tokens,source_write_success,did_build,is_source_valid,did_any_run,did_all_run,are_any_valid,are_all_valid,best_runtime,avg_runtime,speedup_2proc,speedup_4proc,num_successful_runs
Gemini Pro,sort,42_sort_sorted_ranks,mpi,,,,True,True,True,True,True,True,True,1.9503041,3.5772072,1.8236447598106051,2.9079539954820377,3
Gemini Pro,sort,42_sort_sorted_ranks,serial,,,,True,True,True,True,True,True,True,0.0123201,0.0123201,,,1
Gemini Pro,sparse_la,46_sparse_la_spmm,mpi,,,,True,True,True,True,True,True,True,0.0057034,0.0061170666666666,0.9523602785245546,0.8564821071916625,3
Gemini Pro,sparse_la,46_sparse_la_spmm,serial,,,,True,True,True,True,True,True,True,0.0053459252,0.0053459252,,,1
Gemini Pro,sparse_la,47_sparse_la_spmv,mpi,,,,True,True,True,True,True,True,True,0.00059965,0.00105525,1.7500803772371665,2.7232552322187944,3
Gemini Pro,sparse_la,47_sparse_la_spmv,serial,,,,True,True,True,True,True,True,True,0.0016478834,0.0016478834,,,1
Gemini Pro,sparse_la,48_sparse_la_sparse_axpy,mpi,,,,True,True,True,False,False,False,False,,,,,0
Gemini Pro,sparse_la,48_sparse_la_sparse_axpy,serial,,,,True,True,True,False,False,False,False,,,,,0
Gemini Pro,sparse_la,45_sparse_la_sparse_solve,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,sparse_la,45_sparse_la_sparse_solve,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,sparse_la,49_sparse_la_sparse_lu_decomp,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,sparse_la,49_sparse_la_sparse_lu_decomp,serial,,,,True,True,True,True,True,True,True,0.0513454168,0.0513454168,,,1
Gemini Pro,stencil,50_stencil_xor_kernel,mpi,,,,True,True,True,True,True,True,True,0.01522215,0.0199216166666666,1.8372411508793387,1.8948308878837747,3
Gemini Pro,stencil,50_stencil_xor_kernel,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,stencil,51_stencil_edge_kernel,mpi,,,,True,True,True,True,True,True,True,0.02208285,0.0317954166666666,1.7763705089650264,2.1238562957226987,3
Gemini Pro,stencil,51_stencil_edge_kernel,serial,,,,True,True,True,True,True,True,True,0.0686516666,0.0686516666,,,1
Gemini Pro,stencil,53_stencil_2d_jacobi_5-point_stencil,mpi,,,,True,True,True,True,True,True,True,0.02453655,0.0290215166666666,1.254366103748143,1.4179499562896984,3
Gemini Pro,stencil,53_stencil_2d_jacobi_5-point_stencil,serial,,,,True,True,True,True,True,True,True,0.0177516916,0.0177516916,,,1
Gemini Pro,stencil,52_stencil_1d_jacobi_3-point_stencil,mpi,,,,True,True,True,True,True,True,True,0.018199,0.0227056833333333,1.5940436287708115,1.387503856170231,3
Gemini Pro,stencil,52_stencil_1d_jacobi_3-point_stencil,serial,,,,True,True,True,True,True,True,True,0.0056313168,0.0056313168,,,1
Gemini Pro,stencil,54_stencil_game_of_life,mpi,,,,True,True,True,True,True,True,True,0.03369145,0.0587634499999999,1.8057780584889216,2.7240026772371033,3
Gemini Pro,stencil,54_stencil_game_of_life,serial,,,,True,True,True,True,True,True,True,0.1585183586,0.1585183586,,,1
Gemini Pro,histogram,20_histogram_pixel_histogram,mpi,,,,True,True,True,True,True,True,True,0.0011593,0.0014493,1.6448241539482416,1.7105149659277148,3
Gemini Pro,histogram,20_histogram_pixel_histogram,serial,,,,True,True,True,True,True,True,True,0.0021586334,0.0021586334,,,1
Gemini Pro,histogram,24_histogram_count_quartile,mpi,,,,True,True,True,True,True,True,True,0.03783565,0.07654425,1.939621889632235,3.3447713994605612,3
Gemini Pro,histogram,24_histogram_count_quartile,serial,,,,True,True,True,True,True,True,True,0.0060469914,0.0060469914,,,1
Gemini Pro,histogram,22_histogram_count_quadrants,mpi,,,,True,True,True,True,True,True,True,0.0115067,0.0233966999999999,1.9803051233088205,3.3887213536461367,3
Gemini Pro,histogram,22_histogram_count_quadrants,serial,,,,True,True,True,True,True,True,True,0.0392034832,0.0392034832,,,1
Gemini Pro,histogram,23_histogram_first_letter_counts,mpi,,,,True,True,True,True,True,True,True,0.0038516,0.0054415166666666,0.8756223429649669,0.4770226336811469,3
Gemini Pro,histogram,23_histogram_first_letter_counts,serial,,,,True,True,True,True,True,True,True,0.0036839832,0.0036839832,,,1
Gemini Pro,histogram,21_histogram_bin_0-100,mpi,,,,True,True,True,True,True,True,True,0.00182035,0.0031401166666666,2.0084712215976563,2.787266185074299,3
Gemini Pro,histogram,21_histogram_bin_0-100,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,search,39_search_xor_contains,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,search,39_search_xor_contains,serial,,,,True,True,True,True,True,True,True,2.60168e-05,2.60168e-05,,,1
Gemini Pro,search,37_search_find_the_closest_number_to_pi,mpi,,,,True,True,True,True,True,True,True,0.0007179,0.0009841833333333,1.3584064632957236,0.7743062447893921,3
Gemini Pro,search,37_search_find_the_closest_number_to_pi,serial,,,,True,True,True,True,True,True,True,2.48e-08,2.48e-08,,,1
Gemini Pro,search,38_search_find_the_first_even_number,mpi,,,,True,True,True,True,True,True,True,0.0002505,0.00031255,1.0714570858283432,0.640955223880597,3
Gemini Pro,search,38_search_find_the_first_even_number,serial,,,,True,True,True,True,True,True,True,2.5e-08,2.5e-08,,,1
Gemini Pro,search,35_search_search_for_last_struct_by_key,mpi,,,,True,True,True,True,True,True,True,0.0013458,0.0025808833333333,0.6484533102052618,0.3114232491409133,3
Gemini Pro,search,35_search_search_for_last_struct_by_key,serial,,,,True,True,True,True,True,True,True,1.68e-08,1.68e-08,,,1
